INT J SOC RES METHOD,SOCIOL METHOD RES,20
COGNITION INSTRUCT,REV RES EDUC,15
AM J ADDICTION,AM J ADDICTION,55
BMC HEALTH SERV RES,HEALTH SERV RES,159
INT J OPER PROD MAN,INT J PHYS DISTR LOG,66
AM J POLIT SCI,ANNU REV POLIT SCI,30
COGNITION INSTRUCT,MIND CULT ACT,24
INT J ENV RES PUB HE,TOB CONTROL,228
INT J SCI MATH EDUC,J RES SCI TEACH,140
BRIT J SOC PSYCHOL,J PERS SOC PSYCHOL,204
SMALL GR RES,GROUP DYN-THEOR RES,16
INT J CONTEMP HOSP M,J APPL PSYCHOL,147
J COMMUN HEALTH,J COMMUN HEALTH,95
ANXIETY STRESS COPIN,J ABNORM PSYCHOL,51
SEX HEALTH,AIDS CARE,55
ANN BEHAV MED,HEALTH PSYCHOL,121
J DOC,INFORM PROCESS MANAG,55
J BUS RES,COMPUT MATH ORGAN TH,5
INT J IND ERGONOM,ERGONOMICS,257
GAME ECON BEHAV,AM ECON J-MICROECON,18
J PSYCHOLINGUIST RES,COGNITION,98
PSYCHOL RUNDSCH,LEARN INSTR,10
ELECTRON COMMER R A,REV NETW ECON,5
APPL NURS RES,J NURS ADMIN,54
INT J TOUR RES,TOURISM MANAGE,307
FAM RELAT,J MARRIAGE FAM,101
LEARN INDIVID DIFFER,AM PSYCHOL,101
J CONSUM CULT,ANN TOURISM RES,22
MINDFULNESS,STRESS HEALTH,11
EMPL RELAT,EMPL RELAT,92
RBGN-REV BRAS GEST N,RAE-REV ADMIN EMPRES,10
J LIBR INF SCI,AFR J LIBR ARCH INFO,2
FAM RELAT,DEV PSYCHOPATHOL,42
GERONTOLOGIST,EDUC GERONTOL,17
SUBST USE MISUSE,ALCOHOL ALCOHOLISM,63
PERS INDIV DIFFER,NEBR SYM MOTIV,6
J ECON THEORY,REV ECON STUD,197
MARKET LETT,J PERS SOC PSYCHOL,82
J AM GERIATR SOC,JAMA-J AM MED ASSOC,395
DEV PSYCHOL,DEV NEUROPSYCHOL,37
ASIAN J TECHNOL INNO,ACAD MANAGE J,25
J BUS RES,S AFR J BUS MANAG,3
EVOL ANTHROPOL,P NATL ACAD SCI USA,81
SOC DEV,DEV PSYCHOL,152
PUBLIC MONEY MANAGE,ACCOUNT ORG SOC,37
MANAGE DECIS,MANAGE DECIS,231
J HEALTH SOC BEHAV,ANNU REV SOCIOL,30
GAMES CULT,GAMES CULT,49
J HEALTH PSYCHOL,PSYCHOL BULL,106
ALCOHOL ALCOHOLISM,ADDICT BEHAV,47
REV GEN PSYCHOL,PERS SOC PSYCHOL B,63
PSYCHIAT RES,SCAND J PSYCHOL,26
READ TEACH,J EDUC PSYCHOL,35
ORGAN SCI,INFORM ORGAN-UK,12
PERS SOC PSYCHOL B,PERS SOC PSYCHOL B,322
INT J COMMUN-US,COMMUN RES,102
ACM COMPUT SURV,ETHICS INF TECHNOL,11
INTERACT LEARN ENVIR,EDUC TECHNOL SOC,89
BMC HEALTH SERV RES,HEALTH CARE MANAGE R,49
IND MARKET MANAG,J MARKETING,605
PLOS ONE,AIDS EDUC PREV,65
CHILD YOUTH SERV REV,J AGGRESS MALTREAT T,18
TRANSPORT RES E-LOG,J CHOICE MODEL,6
EUR J SOC PSYCHOL,PERS SOC PSYCHOL B,137
PSYCHOL AESTHET CREA,INTELLIGENCE,27
CONSUMP MARK CULT,J MARKETING,19
INFORM DEV,TELEMAT INFORM,13
BRIT EDUC RES J,AM EDUC RES J,18
J OPER RES SOC,OPER RES,119
CRISIS,ARCH SUICIDE RES,35
SOC PSYCHOL QUART,ANNU REV SOCIOL,10
HUM FACTORS,TRAV HUMAIN,5
J PSYCHOSOM RES,PSYCHOTHER PSYCHOSOM,35
MOD LANG J,TESOL QUART,63
INFORM TECHNOL MANAG,STRATEGIC MANAGE J,17
PLOS ONE,EUR PSYCHIAT,100
NEW MEDIA SOC,YOUNG,5
PERSPECT PSYCHOL SCI,PSYCHOL BELG,6
J PSYCHOEDUC ASSESS,J PSYCHOEDUC ASSESS,65
J MEDIA ECON,J ADVERTISING,9
INT J LOGIST MANAG,INT J OPER PROD MAN,63
INT J COMMUN-US,INFORM COMMUN SOC,91
TRANSPORT RES D-TR E,INT J SHIP TRANS LOG,5
J CHOICE MODEL,ECONOMETRICA,24
J PERS SOC PSYCHOL,SOC PSYCHOL PERS SCI,52
PLOS ONE,EUR J PERSONALITY,50
PSYCHIAT RES,J TRAUMA STRESS,138
EDUC RESEARCHER,J EDUC RES,28
REM SPEC EDUC,J LEARN DISABIL-US,24
APPL NURS RES,J NURS SCHOLARSHIP,22
DISCOURSE PROCESS,J PRAGMATICS,42
BRIT J EDUC PSYCHOL,J EDUC PSYCHOL,120
CHILD YOUTH SERV REV,CHILD SOC,38
FRONT PSYCHOL,THEOR PSYCHOL,18
ADDICT BEHAV,J ADDICT NURS,3
JUSTICE Q,J CRIM LAW CRIM,23
BMC HEALTH SERV RES,CAN PUBLIC ADMIN,3
TIME SOC,SOC INDIC RES,10
BMC PUBLIC HEALTH,QUAL HEALTH RES,59
ASIAN J SOC PSYCHOL,PERS SOC PSYCHOL B,28
RES LANG SOC INTERAC,RES LANG SOC INTERAC,112
PSYCHOL RES-PSYCH FO,PSYCHON B REV,109
J KNOWL MANAG,HUM RESOUR DEV REV,10
CRIME DELINQUENCY,INT J OFFENDER THER,27
ARCH SUICIDE RES,J AFFECT DISORDERS,66
BASIC APPL SOC PSYCH,PSYCHOL BULL,32
LAW HUMAN BEHAV,J PERS SOC PSYCHOL,64
ALCOHOL ALCOHOLISM,ALCOHOL ALCOHOLISM,187
PLOS ONE,J PERS ASSESS,98
PUBLIC OPIN QUART,J PERS SOC PSYCHOL,34
J CONSUM PSYCHOL,PERS SOC PSYCHOL B,54
J BUS IND MARK,IND MARKET MANAG,339
J CLIN NURS,NURS HEALTH SCI,30
EDUC TECHNOL SOC,ETR&D-EDUC TECH RES,25
CAN J PSYCHIAT,PSYCHIAT SERV,53
ORGAN DYN,J APPL PSYCHOL,12
STUD PSYCHOL,STUD PSYCHOL,12
ECON MODEL,STATA J,20
PLOS ONE,PSYCHIAT CLIN N AM,27
INT J CONFL MANAGE,ACAD MANAGE J,67
J PSYCHOL COUNS SCH,J AUTISM DEV DISORD,18
CHILD YOUTH SERV REV,CHILD ABUSE REV,29
E M EKON MANAG,RES POLICY,20
INT J ENV RES PUB HE,J IMMIGR MINOR HEALT,24
J GAMBL STUD,INT J MENT HEALTH AD,73
J EDUC PSYCHOL,AM EDUC RES J,55
J MANAGE ORGAN,ACAD MANAGE REV,100
ADDICT BEHAV,ADDICT RES THEORY,25
