"LECT NOTES COMPUT SC","COMPUT HUM BEHAV","314"
"COMPUT EDUC","COMPUT HUM BEHAV","286"
"CYBERPSYCH BEH SOC N","COMPUT HUM BEHAV","198"
"FRONT PSYCHOL","COMPUT HUM BEHAV","164"
"TELEMAT INFORM","COMPUT HUM BEHAV","158"
"BEHAV INFORM TECHNOL","COMPUT HUM BEHAV","137"
"INFORM DEV","COMPUT HUM BEHAV","128"
"INT J INFORM MANAGE","COMPUT HUM BEHAV","118"
"INTERACT LEARN ENVIR","COMPUT HUM BEHAV","117"
"P ANN HICSS","COMPUT HUM BEHAV","104"
"PLOS ONE","COMPUT HUM BEHAV","102"
"34 ANN CHI C HUM","COMPUT HUM BEHAV","88"
"ASLIB J INFORM MANAG","COMPUT HUM BEHAV","82"
"PERS INDIV DIFFER","COMPUT HUM BEHAV","80"
"J BEHAV ADDICT","COMPUT HUM BEHAV","77"
"ELECTRON COMMER R A","COMPUT HUM BEHAV","72"
"EDUC TECHNOL SOC","COMPUT HUM BEHAV","69"
"NEW MEDIA SOC","COMPUT HUM BEHAV","65"
"J EDUC COMPUT RES","COMPUT HUM BEHAV","62"
"INTERNET HIGH EDUC","COMPUT HUM BEHAV","60"
"INT REV RES OPEN DIS","COMPUT HUM BEHAV","58"
"INTERNET RES","COMPUT HUM BEHAV","58"
"J RETAIL CONSUM SERV","COMPUT HUM BEHAV","55"
"INFORM COMMUN SOC","COMPUT HUM BEHAV","54"
"J ASSOC INF SCI TECH","COMPUT HUM BEHAV","52"
"ADDICT BEHAV","COMPUT HUM BEHAV","51"
"J COMPUT ASSIST LEAR","COMPUT HUM BEHAV","51"
"ONLINE INFORM REV","COMPUT HUM BEHAV","51"
"ACM C COMP COOP","COMPUT HUM BEHAV","50"
"J BUS RES","COMPUT HUM BEHAV","50"
"INT J HUM-COMPUT INT","COMPUT HUM BEHAV","48"
"ETR&D-EDUC TECH RES","COMPUT HUM BEHAV","47"
"PROCD SOC BEHV","COMPUT HUM BEHAV","47"
"BRIT J EDUC TECHNOL","COMPUT HUM BEHAV","46"
"J MED INTERNET RES","COMPUT HUM BEHAV","45"
"SOC BEHAV PERSONAL","COMPUT HUM BEHAV","45"
"LEARN INSTR","COMPUT HUM BEHAV","44"
"COMM COM INF SC","COMPUT HUM BEHAV","43"
"EURASIA J MATH SCI T","COMPUT HUM BEHAV","42"
"LECT NOTES ARTIF INT","COMPUT HUM BEHAV","41"
"INFORM SYST FRONT","COMPUT HUM BEHAV","40"
"J COMPUT-MEDIAT COMM","COMPUT HUM BEHAV","40"
"TECHNOL FORECAST SOC","COMPUT HUM BEHAV","40"
"CURR OPIN PSYCHOL","COMPUT HUM BEHAV","39"
"HUM COMMUN RES","COMPUT HUM BEHAV","38"
"SOC SCI COMPUT REV","COMPUT HUM BEHAV","38"
"INFORM TECHNOL PEOPL","COMPUT HUM BEHAV","37"
"INT J ENG EDUC","COMPUT HUM BEHAV","37"
"INT J MOB COMMUN","COMPUT HUM BEHAV","37"
"J ELECTRON COMMER RE","COMPUT HUM BEHAV","37"
"AGGRESSIVE BEHAV","COMPUT HUM BEHAV","34"
"INT J COMP-SUPP COLL","COMPUT HUM BEHAV","34"
"PROC EUR CONF GAME","COMPUT HUM BEHAV","34"
"IND MANAGE DATA SYST","COMPUT HUM BEHAV","33"
"INT J CONTEMP HOSP M","COMPUT HUM BEHAV","32"
"ADV INTELL SYST","COMPUT HUM BEHAV","31"
"INF SYST E-BUS MANAG","COMPUT HUM BEHAV","31"
"INT J EMERG TECHNOL","COMPUT HUM BEHAV","31"
"GAMES HEALTH J","COMPUT HUM BEHAV","30"
"INT J MENT HEALTH AD","COMPUT HUM BEHAV","30"
"INT J COMMUN-US","COMPUT HUM BEHAV","29"
"J UNIVERS COMPUT SCI","COMPUT HUM BEHAV","29"
"INT J HUM-COMPUT ST","COMPUT HUM BEHAV","28"
"P 2016 IEEEACM INT","COMPUT HUM BEHAV","27"
"J YOUTH ADOLESCENCE","COMPUT HUM BEHAV","26"
"ADV SCI LETT","COMPUT HUM BEHAV","25"
"DECIS SUPPORT SYST","COMPUT HUM BEHAV","25"
"EGIT BILIM","COMPUT HUM BEHAV","25"
"IEEE INT CONF ADV LE","COMPUT HUM BEHAV","25"
"INN MAN ED EXC VIS","COMPUT HUM BEHAV","25"
"J ORGAN END USER COM","COMPUT HUM BEHAV","25"
"LEARN INDIVID DIFFER","COMPUT HUM BEHAV","25"
"PROGRAM-ELECTRON LIB","COMPUT HUM BEHAV","25"
"SPRINGERPLUS","COMPUT HUM BEHAV","25"
"BMC PSYCHIATRY","COMPUT HUM BEHAV","24"
"HEALTH COMMUN","COMPUT HUM BEHAV","24"
"INT J BANK MARK","COMPUT HUM BEHAV","24"
"J INTERNET COMMER","COMPUT HUM BEHAV","24"
"J TRAVEL TOUR MARK","COMPUT HUM BEHAV","24"
"MULTIMED TOOLS APPL","COMPUT HUM BEHAV","24"
"CHILD YOUTH SERV REV","COMPUT HUM BEHAV","23"
"COMPUT ASSIST LANG L","COMPUT HUM BEHAV","23"
"J BROADCAST ELECTRON","COMPUT HUM BEHAV","23"
"J KNOWL MANAG","COMPUT HUM BEHAV","23"
"TOURISM MANAGE","COMPUT HUM BEHAV","23"
"COMMUN RES","COMPUT HUM BEHAV","22"
"EXPERT SYST APPL","COMPUT HUM BEHAV","22"
"J INF TECHNOL RES","COMPUT HUM BEHAV","22"
"15 WUH INT C EB","COMPUT HUM BEHAV","21"
"J MARKET MANAG","COMPUT HUM BEHAV","21"
"LECT NOTES BUS INF P","COMPUT HUM BEHAV","21"
"PROCEDIA COMPUT SCI","COMPUT HUM BEHAV","21"
"COMUNICAR","COMPUT HUM BEHAV","20"
"I C SERV SYST SERV M","COMPUT HUM BEHAV","20"
"INT J MED INFORM","COMPUT HUM BEHAV","20"
"J ADOLESCENCE","COMPUT HUM BEHAV","20"
"J ENTERP INF MANAG","COMPUT HUM BEHAV","20"
"NEUROSCI BIOBEHAV R","COMPUT HUM BEHAV","20"
"BMC PUBLIC HEALTH","COMPUT HUM BEHAV","19"
"COMPUT COMMUN","COMPUT HUM BEHAV","19"
"COMPUT HUM BEHAV","COMPUT HUM BEHAV","3377"
"COMPUT HUM BEHAV","COMPUT EDUC","910"
"COMPUT HUM BEHAV","CYBERPSYCHOL BEHAV","655"
"COMPUT HUM BEHAV","MIS QUART","640"
"COMPUT HUM BEHAV","J PERS SOC PSYCHOL","602"
"COMPUT HUM BEHAV","CYBERPSYCH BEH SOC N","455"
"COMPUT HUM BEHAV","J COMPUT-MEDIAT COMM","434"
"COMPUT HUM BEHAV","INFORM MANAGE-AMSTER","424"
"COMPUT HUM BEHAV","PSYCHOL BULL","371"
"COMPUT HUM BEHAV","INFORM SYST RES","331"
"COMPUT HUM BEHAV","**NON-TRADITIONAL**","280"
"COMPUT HUM BEHAV","COMMUN RES","275"
"COMPUT HUM BEHAV","J COMMUN","245"
"COMPUT HUM BEHAV","PERS INDIV DIFFER","237"
"COMPUT HUM BEHAV","NEW MEDIA SOC","234"
"COMPUT HUM BEHAV","J MARKETING RES","224"
"COMPUT HUM BEHAV","THESIS","222"
"COMPUT HUM BEHAV","J CONSUM RES","212"
"COMPUT HUM BEHAV","INT J HUM-COMPUT ST","210"
"COMPUT HUM BEHAV","J BUS RES","210"
"COMPUT HUM BEHAV","DECIS SUPPORT SYST","199"
"COMPUT HUM BEHAV","J MARKETING","189"
"COMPUT HUM BEHAV","J APPL PSYCHOL","180"
"COMPUT HUM BEHAV","J EDUC PSYCHOL","180"
"COMPUT HUM BEHAV","HUM COMMUN RES","172"
"COMPUT HUM BEHAV","PERS SOC PSYCHOL B","172"
"COMPUT HUM BEHAV","BEHAV INFORM TECHNOL","161"
"COMPUT HUM BEHAV","INT J INFORM MANAGE","159"
"COMPUT HUM BEHAV","PLOS ONE","156"
"COMPUT HUM BEHAV","AM PSYCHOL","154"
"COMPUT HUM BEHAV","MANAGE SCI","152"
"COMPUT HUM BEHAV","J MANAGE INFORM SYST","148"
"COMPUT HUM BEHAV","STRUCT EQU MODELING","147"
"COMPUT HUM BEHAV","BRIT J EDUC TECHNOL","136"
"COMPUT HUM BEHAV","J BROADCAST ELECTRON","132"
"COMPUT HUM BEHAV","PSYCHOL SCI","131"
"COMPUT HUM BEHAV","LEARN INSTR","126"
"COMPUT HUM BEHAV","EXPERT SYST APPL","123"
"COMPUT HUM BEHAV","P SIGCHI C HUM FACT","123"
"COMPUT HUM BEHAV","MEDIA PSYCHOL","122"
"COMPUT HUM BEHAV","COMMUN ACM","120"
"COMPUT HUM BEHAV","J EXP SOC PSYCHOL","120"
"COMPUT HUM BEHAV","ORGAN BEHAV HUM DEC","114"
"COMPUT HUM BEHAV","J ACAD MARKET SCI","111"
"COMPUT HUM BEHAV","J ADVERTISING","111"
"COMPUT HUM BEHAV","J AM SOC INF SCI TEC","109"
"COMPUT HUM BEHAV","INTERNET HIGH EDUC","107"
"COMPUT HUM BEHAV","EDUC TECHNOL SOC","106"
"COMPUT HUM BEHAV","J APPL DEV PSYCHOL","104"
"COMPUT HUM BEHAV","INT J ELECTRON COMM","103"
"COMPUT HUM BEHAV","J ADOLESCENT HEALTH","102"
"COMPUT HUM BEHAV","PSYCHOL REV","101"
"COMPUT HUM BEHAV","INTERNET RES","100"
"COMPUT HUM BEHAV","J ADOLESCENCE","100"
"COMPUT HUM BEHAV","ANNU REV PSYCHOL","99"
"COMPUT HUM BEHAV","STRATEGIC MANAGE J","99"
"COMPUT HUM BEHAV","J RES PERS","98"
