"ACAD MANAG ANN","INFORM SYST RES","4"
"ACAD MANAG LEARN EDU","COMPUT HUM BEHAV","5"
"ACAD MANAGE J","INFORM SYST RES","50"
"ACAD MANAGE J","COMPUT HUM BEHAV","79"
"ACAD MANAGE PERSPECT","COMPUT HUM BEHAV","2"
"ACAD MANAGE REV","INFORM SYST RES","52"
"ACAD MANAGE REV","COMPUT HUM BEHAV","86"
"ACCIDENT ANAL PREV","COMPUT HUM BEHAV","20"
"ACCOUNT ORG SOC","INFORM SYST RES","2"
"ACCOUNT ORG SOC","COMPUT HUM BEHAV","4"
"ACM COMPUT SURV","MIS QUART","2"
"ACM T COMPUT-HUM INT","INFORM MANAGE-AMS","3"
"ACM T DATABASE SYST","J ASSOC INF SYST","2"
"ACM T INFORM SYST","J ASSOC INF SYST","3"
"ACM T INFORM SYST","INFORM MANAGE-AMS","2"
"ACM T INTEL SYST TEC","INFORM MANAGE-AMS","2"
"ACT LEARN HIGH EDUC","COMPUT HUM BEHAV","5"
"ACTA PSYCHIAT SCAND","COMPUT HUM BEHAV","7"
"ACTA PSYCHOL","COMPUT HUM BEHAV","25"
"ACTA SOCIOL","COMPUT HUM BEHAV","2"
"ADDICT BEHAV","COMPUT HUM BEHAV","47"
"ADDICT RES THEORY","COMPUT HUM BEHAV","18"
"ADDICTION","COMPUT HUM BEHAV","54"
"ADICCIONES","COMPUT HUM BEHAV","10"
"ADM POLICY MENT HLTH","COMPUT HUM BEHAV","3"
"ADMIN SCI QUART","INFORM SYST RES","23"
"ADMIN SCI QUART","COMPUT HUM BEHAV","38"
"ADULT EDUC QUART","COMPUT HUM BEHAV","2"
"ADV EXP SOC PSYCHOL","INFORM SYST RES","2"
"ADV EXP SOC PSYCHOL","COMPUT HUM BEHAV","33"
"ADV HEALTH SCI EDUC","COMPUT HUM BEHAV","4"
"ADV NURS SCI","COMPUT HUM BEHAV","2"
"AFFILIA J WOM SOC WO","COMPUT HUM BEHAV","2"
"AGEING SOC","COMPUT HUM BEHAV","4"
"AGGRESS VIOLENT BEH","COMPUT HUM BEHAV","36"
"AGGRESSIVE BEHAV","INFORM SYST RES","2"
"AGGRESSIVE BEHAV","COMPUT HUM BEHAV","51"
"AGING MENT HEALTH","COMPUT HUM BEHAV","13"
"AGING NEUROPSYCHOL C","COMPUT HUM BEHAV","3"
"AI MAG","MIS QUART","2"
"AIDS CARE","COMPUT HUM BEHAV","3"
"AIDS EDUC PREV","COMPUT HUM BEHAV","2"
"AM ANN DEAF","COMPUT HUM BEHAV","2"
"AM ANTHROPOL","COMPUT HUM BEHAV","2"
