From,To,Weight,Impact Factor
INT J SOC RES METHOD,SOCIOL METHOD RES,20,3.604
COGNITION INSTRUCT,REV RES EDUC,15,1.727
AM J ADDICTION,AM J ADDICTION,55,1.873
BMC HEALTH SERV RES,HEALTH SERV RES,159,3.089
INT J OPER PROD MAN,INT J PHYS DISTR LOG,66,2.577
AM J POLIT SCI,ANNU REV POLIT SCI,30,2.804
COGNITION INSTRUCT,MIND CULT ACT,24,1.114
INT J ENV RES PUB HE,TOB CONTROL,228,5.469
INT J SCI MATH EDUC,J RES SCI TEACH,140,3.179
BRIT J SOC PSYCHOL,J PERS SOC PSYCHOL,204,5.017
SMALL GR RES,GROUP DYN-THEOR RES,16,1.073
INT J CONTEMP HOSP M,J APPL PSYCHOL,147,4.130
J COMMUN HEALTH,J COMMUN HEALTH,95,1.388
ANXIETY STRESS COPIN,J ABNORM PSYCHOL,51,4.133
SEX HEALTH,AIDS CARE,55,1.824
ANN BEHAV MED,HEALTH PSYCHOL,121,3.458
J DOC,INFORM PROCESS MANAG,55,2.391
J BUS RES,COMPUT MATH ORGAN TH,5,0.769
INT J IND ERGONOM,ERGONOMICS,257,1.818
GAME ECON BEHAV,AM ECON J-MICROECON,18,1.446
J PSYCHOLINGUIST RES,COGNITION,98,3.414
PSYCHOL RUNDSCH,LEARN INSTR,10,3.983
ELECTRON COMMER R A,REV NETW ECON,5,0.5
APPL NURS RES,J NURS ADMIN,54,1.386
INT J TOUR RES,TOURISM MANAGE,307,4.707
FAM RELAT,J MARRIAGE FAM,101,2.238
LEARN INDIVID DIFFER,AM PSYCHOL,101,6.681
J CONSUM CULT,ANN TOURISM RES,22,3.194
MINDFULNESS,STRESS HEALTH,11,2.114
EMPL RELAT,EMPL RELAT,92,0.864
RBGN-REV BRAS GEST N,RAE-REV ADMIN EMPRES,10,0.408
J LIBR INF SCI,AFR J LIBR ARCH INFO,2,0.179
FAM RELAT,DEV PSYCHOPATHOL,42,3.244
GERONTOLOGIST,EDUC GERONTOL,17,0.674
SUBST USE MISUSE,ALCOHOL ALCOHOLISM,63,2.757
PERS INDIV DIFFER,NEBR SYM MOTIV,6,0.6
J ECON THEORY,REV ECON STUD,197,4.03
MARKET LETT,J PERS SOC PSYCHOL,82,5.017
J AM GERIATR SOC,JAMA-J AM MED ASSOC,395,44.405
DEV PSYCHOL,DEV NEUROPSYCHOL,37,1.813
ASIAN J TECHNOL INNO,ACAD MANAGE J,25,7.417
J BUS RES,S AFR J BUS MANAG,3,0.246
EVOL ANTHROPOL,P NATL ACAD SCI USA,81,9.661
SOC DEV,DEV PSYCHOL,152,3.228
PUBLIC MONEY MANAGE,ACCOUNT ORG SOC,37,2.158
