"","V1"
"INT J SOC RES METHOD",178
"SOCIOL METHOD RES",339
"COGNITION INSTRUCT",311
"REV RES EDUC",120
"AM J ADDICTION",400
"BMC HEALTH SERV RES",211
"HEALTH SERV RES",1155
"INT J OPER PROD MAN",1908
"INT J PHYS DISTR LOG",1134
"AM J POLIT SCI",2381
"ANNU REV POLIT SCI",159
"MIND CULT ACT",115
"INT J ENV RES PUB HE",1305
"TOB CONTROL",2529
"INT J SCI MATH EDUC",362
"J RES SCI TEACH",2401
"BRIT J SOC PSYCHOL",554
"J PERS SOC PSYCHOL",31903
"SMALL GR RES",220
"GROUP DYN-THEOR RES",129
"INT J CONTEMP HOSP M",1212
"J APPL PSYCHOL",13704
"J COMMUN HEALTH",273
"ANXIETY STRESS COPIN",191
"J ABNORM PSYCHOL",4446
"SEX HEALTH",195
"AIDS CARE",1744
"ANN BEHAV MED",714
"HEALTH PSYCHOL",1687
"J DOC",524
"INFORM PROCESS MANAG",679
"J BUS RES",5526
"COMPUT MATH ORGAN TH",62
"INT J IND ERGONOM",998
"ERGONOMICS",2194
"GAME ECON BEHAV",831
"AM ECON J-MICROECON",148
"J PSYCHOLINGUIST RES",294
"COGNITION",6133
"PSYCHOL RUNDSCH",76
"LEARN INSTR",1350
"ELECTRON COMMER R A",652
"REV NETW ECON",30
"APPL NURS RES",149
"J NURS ADMIN",577
"INT J TOUR RES",668
"TOURISM MANAGE",5775
"FAM RELAT",410
"J MARRIAGE FAM",2265
"LEARN INDIVID DIFFER",940
"AM PSYCHOL",2783
"J CONSUM CULT",194
"ANN TOURISM RES",3969
"MINDFULNESS",565
"STRESS HEALTH",157
"EMPL RELAT",176
"RBGN-REV BRAS GEST N",40
"RAE-REV ADMIN EMPRES",54
"J LIBR INF SCI",136
"AFR J LIBR ARCH INFO",35
"DEV PSYCHOPATHOL",2230
"GERONTOLOGIST",1928
"EDUC GERONTOL",213
"SUBST USE MISUSE",590
"ALCOHOL ALCOHOLISM",655
"PERS INDIV DIFFER",6549
"NEBR SYM MOTIV",46
"J ECON THEORY",1130
"REV ECON STUD",1998
"MARKET LETT",286
"J AM GERIATR SOC",3688
"JAMA-J AM MED ASSOC",3876
"DEV PSYCHOL",6766
"DEV NEUROPSYCHOL",408
"ASIAN J TECHNOL INNO",73
"ACAD MANAGE J",16165
"S AFR J BUS MANAG",31
"EVOL ANTHROPOL",268
"P NATL ACAD SCI USA",3081
"SOC DEV",691
"PUBLIC MONEY MANAGE",183
"ACCOUNT ORG SOC",1463
"MANAGE DECIS",639
"J HEALTH SOC BEHAV",944
"ANNU REV SOCIOL",1281
"GAMES CULT",98
"J HEALTH PSYCHOL",767
"PSYCHOL BULL",11167
"ADDICT BEHAV",3654
"REV GEN PSYCHOL",408
"PERS SOC PSYCHOL B",4927
"PSYCHIAT RES",3523
"SCAND J PSYCHOL",293
"READ TEACH",203
"J EDUC PSYCHOL",6043
"ORGAN SCI",6437
"INFORM ORGAN-UK",158
"INT J COMMUN-US",402
"COMMUN RES",1324
"ACM COMPUT SURV",3
"ETHICS INF TECHNOL",121
"INTERACT LEARN ENVIR",410
"EDUC TECHNOL SOC",780
"HEALTH CARE MANAGE R",171
"IND MARKET MANAG",2660
"J MARKETING",9475
"PLOS ONE",4958
"AIDS EDUC PREV",470
"CHILD YOUTH SERV REV",1727
